"loss","penalty","alpha","max_iter","learning_rate","early_stopping","warm_start","accuracy"
"hinge","l2",1e-05,50000,"constant",False,True,0.5563775510204082
"hinge","l2",1e-05,50000,"constant",True,False,0.7251700680272108
"hinge","l2",1e-05,50000,"constant",True,True,0.6721938775510203
"hinge","l2",1e-05,50000,"optimal",False,False,0.7376700680272108
"hinge","l2",1e-05,50000,"optimal",False,True,0.5948979591836735
"hinge","l2",1e-05,50000,"optimal",True,False,0.754421768707483
"hinge","l2",1e-05,50000,"optimal",True,True,0.7583333333333333
"hinge","l2",1e-05,50000,"invscaling",False,False,0.6687925170068028
"hinge","l2",1e-05,50000,"invscaling",False,True,0.7336734693877551
"hinge","l2",1e-05,50000,"invscaling",True,False,0.7416666666666667
"hinge","l2",1e-05,50000,"invscaling",True,True,0.7419217687074829
"hinge","l2",1e-05,50000,"adaptive",False,False,0.7420068027210884
"hinge","l2",1e-05,50000,"adaptive",False,True,0.7582482993197279
"hinge","l2",1e-05,50000,"adaptive",True,False,0.7414965986394557
"hinge","l2",1e-05,50000,"adaptive",True,True,0.754251700680272
"hinge","l2",0.0001,100,"constant",False,False,0.7380952380952382
"hinge","l2",0.0001,100,"constant",False,True,0.7254251700680272
"hinge","l2",0.0001,100,"constant",True,False,0.6047619047619046
"hinge","l2",0.0001,100,"constant",True,True,0.7377551020408163
"hinge","l2",0.0001,100,"optimal",False,False,0.6560374149659863
"hinge","l2",0.0001,100,"optimal",False,True,0.5437925170068028
"hinge","l2",0.0001,100,"optimal",True,False,0.7293367346938775
"hinge","l2",0.0001,100,"optimal",True,True,0.5982993197278912
"hinge","l2",0.0001,100,"invscaling",False,False,0.7380102040816326
"hinge","l2",0.0001,100,"invscaling",False,True,0.6602891156462586
"hinge","l2",0.0001,100,"invscaling",True,False,0.7210034013605442
"hinge","l2",0.0001,100,"invscaling",True,True,0.7011904761904761
"hinge","l2",0.0001,100,"adaptive",False,False,0.7376700680272108
"hinge","l2",0.0001,100,"adaptive",False,True,0.7543367346938774
"hinge","l2",0.0001,100,"adaptive",True,False,0.7497448979591836
"hinge","l2",0.0001,100,"adaptive",True,True,0.7420068027210884
"hinge","l2",0.0001,500,"constant",False,False,0.46437074829931974
"hinge","l2",0.0001,500,"constant",False,True,0.7582482993197279
"hinge","l2",0.0001,500,"constant",True,False,0.633673469387755
"hinge","l2",0.0001,500,"constant",True,True,0.7500850340136055
"hinge","l2",0.0001,500,"optimal",False,False,0.6589285714285714
"hinge","l2",0.0001,500,"optimal",False,True,0.6604591836734695
